#GENE	ALL_0.1%	%ALL_0.1%
RFX2	-0.86	10.89
RFX3	-0.8	12.46
RFX4	-0.4	26.93
RFX5	0.04	57.41
RFX6	0.2	67.43
RFX7	NA	NA
RFX8	3	99.21
RFXANK	0.31	72.38
RFXAP	NA	NA
RGAG1	0.5	79.64
RGAG4	0.44	77.7
RGCC	NA	NA
RGL1	-1	8.47
RGL2	-0.69	15.27
RGL3	-0.11	45.61
RGL4	2.56	98.74
RGMA	-0.64	16.63
RGMB	-0.07	48.35
RGN	0.02	55.22
RGNEF	-0.27	34.32
RGP1	-0.43	25.37
RGPD1	NA	NA
RGPD2	NA	NA
RGPD3	NA	NA
RGPD4	NA	NA
RGPD5	NA	NA
RGPD6	NA	NA
RGPD8	NA	NA
RGR	-0.47	23.43
RGS1	-0.32	31.46
RGS10	-0.08	47.79
RGS11	1.36	94.45
RGS12	-0.46	23.58
RGS13	-0.05	49.76
RGS14	0.35	74.49
RGS16	0.37	75.12
RGS17	-0.23	36.86
RGS18	0.33	73.11
RGS19	-0.07	48.12
RGS2	-0.16	41.64
RGS20	-0.21	38.58
RGS21	0.15	64.11
RGS22	1.14	92.37
RGS3	-0.36	29.17
RGS4	-0.07	48.12
RGS5	0.04	56.64
RGS6	-0.67	15.62
RGS7	-0.47	23.04
RGS7BP	-0.03	51.4
RGS8	0.3	72.01
RGS9	0.27	70.64
RGS9BP	NA	NA
RGSL1	NA	NA
RHAG	-0.05	50.22
RHBDD1	0.77	87.06
RHBDD2	-0.49	22.36
RHBDD3	-0.16	42.06
RHBDF1	-0.79	12.6
RHBDF2	-0.37	28.29
RHBDL1	-0.09	46.74
RHBDL2	0.59	82.51
RHBDL3	-0.25	35.75
RHBG	NA	NA
RHCE	1.69	96.38
RHCG	-0.44	24.46
RHD	3.31	99.42
RHEB	0.01	54.63
RHEBL1	0.06	58.26
RHNO1	NA	NA
RHO	-0.89	10.37
RHOA	-0.01	52.85
RHOB	0.08	59.76
RHOBTB1	-0.71	14.67
RHOBTB2	-0.97	8.9
RHOBTB3	-0.2	38.98
RHOC	-0.25	35.42
RHOD	0.15	64.32
RHOF	0.35	74.18
RHOG	0.04	56.64
RHOH	-0.27	33.97
RHOJ	-0.18	39.95
RHOQ	-0.16	41.25
RHOT1	-0.43	25.37
RHOT2	-1.12	6.61
RHOU	-0.23	36.86
RHOV	0.01	54.63
RHOXF1	-0.03	51.4
RHOXF2	NA	NA
RHOXF2B	NA	NA
RHPN1	-0.53	20.86
RHPN2	0	54.07
RIBC1	-0.41	26.23
RIBC2	NA	NA
RIC3	1.62	96
RIC8A	-0.11	45.49
RIC8B	-0.27	34.6
RICTOR	-0.28	33.56
RIF1	-1.81	2.18
RIIAD1	0.37	74.76
RILP	NA	NA
RILPL1	0.02	55.22
RILPL2	-0.19	39.68
RIMBP2	-2.07	1.62
RIMBP3	NA	NA
RIMBP3B	NA	NA
RIMBP3C	NA	NA
RIMKLA	-0.25	35.75
RIMKLB	-0.05	50.01
RIMS1	-1.54	3.32
RIMS2	-0.59	18.28
RIMS3	0.06	58.74
RIMS4	-0.34	30.07
RIN1	0.27	70.69
RIN2	0.52	80.4
RIN3	0.17	64.99
RING1	-0.36	28.63
RINL	0.35	74.37
RINT1	-0.31	32.15
RIOK1	0.78	87.21
RIOK2	1.07	91.61
RIOK3	-0.23	37.32
RIPK1	-1.35	4.58
RIPK2	0.42	76.96
RIPK3	-0.04	50.45
RIPK4	-1.66	2.75
RIPPLY1	0.1	61.28
RIPPLY2	-0.03	51.04
RIT1	-0.19	39.68
RIT2	0.19	66.57
RLBP1	0.17	65.96
RLF	0.08	59.19
RLIM	-0.25	35.75
RLN1	-0.09	46.74
RLN2	0.35	74.37
RLN3	0.57	81.99
RLTPR	-1.12	6.61
RMI1	0.67	84.61
RMI2	NA	NA
RMND1	0.15	64.61
RMND5A	0.08	59.76
RMND5B	-0.78	12.97
RNASE1	0.7	85.42
RNASE10	0.55	81.38
RNASE11	0.48	79.25
RNASE12	-0.25	35.42
RNASE13	0.28	71.08
RNASE2	0.15	64.32
RNASE3	0.39	76.05
RNASE4	0.93	89.66
RNASE6	0.35	73.97
RNASE7	1.15	92.43
RNASE8	0.5	79.89
RNASE9	1.73	96.51
RNASEH1	-0.74	13.94
RNASEH2A	-0.05	50.01
RNASEH2B	0.04	56.92
RNASEH2C	-0.05	49.39
RNASEK	-0.03	51.04
RNASEL	-0.17	40.63
RNASET2	0.55	81.38
RND1	0.08	59.76
RND2	-0.3	32.62
RND3	-0.23	36.86
RNF10	-0.6	18.14
RNF103	-0.15	42.23
RNF103-CHMP3	-0.38	27.42
RNF11	0.06	58
RNF111	-0.93	9.75
RNF112	NA	NA
RNF113A	0.55	81.22
RNF113B	0.26	70.26
RNF114	0.48	79.04
RNF115	-0.1	46.49
RNF121	-0.49	22.09
RNF122	-0.01	53.19
RNF123	-1.12	6.61
RNF125	0.55	81.38
RNF126	-0.47	23.43
RNF128	0.06	58.74
RNF13	-0.01	53.51
RNF130	-0.16	41.91
RNF133	0.75	86.65
RNF135	NA	NA
RNF138	0.48	78.95
RNF139	-0.71	14.5
RNF14	-0.18	40.16
RNF141	0.26	70.06
RNF144A	-0.16	41.64
RNF144B	0.06	58.53
RNF145	-0.74	13.94
RNF146	0.15	64.51
RNF148	-0.82	11.68
RNF149	-0.14	43.57
RNF150	-0.45	24.33
RNF151	NA	NA
RNF152	-0.09	46.74
RNF157	0.29	71.62
RNF165	-0.36	28.93
RNF166	-0.49	22.09
RNF167	-0.36	29.16
RNF168	0.42	77.26
RNF169	-0.56	19.73
RNF17	0.17	65.05
RNF170	0.17	65.56
RNF175	1.93	97.46
RNF180	0.11	61.91
RNF181	0.28	71.08
RNF182	-0.23	37.11
RNF183	0.48	79.25
RNF185	-0.01	53.19
RNF186	0.69	85.1
RNF19A	-0.82	11.77
RNF19B	-0.78	12.77
RNF2	-0.1	46.2
RNF20	-0.6	18.14
RNF207	0.91	89.54
RNF208	-0.05	49.76
RNF212	NA	NA
RNF213	1.99	97.65
RNF214	-0.49	22.51
RNF215	0.22	68.27
RNF216	-1.19	5.89
RNF217	0.33	73.41
RNF219	-0.11	45.36
RNF220	-0.65	16.44
RNF222	NA	NA
RNF223	NA	NA
RNF224	NA	NA
RNF24	-0.05	49.39
RNF25	0.87	88.8
RNF26	-0.56	19.54
RNF31	-0.57	19.01
RNF32	0.78	87.14
RNF34	-0.34	30.37
RNF38	-0.47	23.04
RNF39	NA	NA
RNF4	0.55	81.22
RNF40	-1.99	1.76
RNF41	-0.16	41.64
RNF43	0.74	86.33
RNF44	-0.18	40.36
RNF5	-0.05	49.39
RNF6	0.16	64.85
RNF7	0.04	56.25
RNF8	-0.54	20.26
RNFT1	0	53.73
RNFT2	-0.8	12.24
RNGTT	-0.56	19.54
RNH1	-0.15	42.23
RNLS	0.84	88.3
RNMT	0.08	60.09
RNMTL1	0.2	67.36
RNPC3	-0.01	52.85
RNPEP	-0.6	18.14
RNPEPL1	NA	NA
RNPS1	-0.18	39.95
ROBO1	-1.96	1.85
ROBO2	-1.5	3.6
ROBO3	0.65	84.18
ROBO4	0.66	84.2
ROCK1	-0.57	18.9
ROCK2	-1.02	8.04
ROGDI	-0.14	43.77
ROM1	-0.22	37.43
ROMO1	0.55	81.12
ROPN1	0.13	63
ROPN1B	0.04	56.64
ROPN1L	0.46	78.46
ROR1	-1.59	3.05
ROR2	-1.07	7.35
RORA	-0.96	9.09
RORB	-0.41	26.23
RORC	0.04	57.15
ROS1	-0.03	51.41
RP1	0.85	88.38
RP11-1055B8.7	NA	NA
RP11-108K14.8	NA	NA
RP11-1105G2.3	NA	NA
RP11-113D6.10	NA	NA
RP11-113D6.6	NA	NA
RP11-1220K2.2	NA	NA
RP11-1396O13.13	NA	NA
RP11-144F15.1	NA	NA
RP11-15E18.4	NA	NA
RP11-166B2.1	NA	NA
RP11-176H8.1	NA	NA
RP11-20I23.1	NA	NA
RP11-211G3.3	NA	NA
RP11-279O9.4	NA	NA
RP1-127H14.3	NA	NA
RP11-302B13.5	NA	NA
RP11-315D16.2	NA	NA
RP11-321M21.3	NA	NA
RP11-322E11.6	NA	NA
RP11-332O19.5	NA	NA
RP11-383H13.1	NA	NA
RP11-389E17.1	NA	NA
RP11-404P21.8	NA	NA
RP11-407N17.3	NA	NA
RP11-408E5.4	NA	NA
RP11-467N20.5	NA	NA
RP11-57H12.6	NA	NA
RP11-644F5.10	NA	NA
RP11-664I21.6	NA	NA
RP11-683L23.1	NA	NA
RP1-170O19.20	NA	NA
RP11-712L6.5	NA	NA
RP11-724O16.1	NA	NA
RP11-73M18.2	NA	NA
RP11-770J1.5	NA	NA
RP11-793H13.10	NA	NA
RP11-80A15.1	NA	NA
RP11-831H9.11	NA	NA
RP11-867G23.8	NA	NA
RP11-89K11.1	NA	NA
RP11-934B9.3	NA	NA
RP11-998D10.1	NA	NA
RP1-241P17.4	NA	NA
RP1-66C13.4	NA	NA
RP1L1	7.25	99.9
RP2	0.35	74.18
RP4-559A3.7	NA	NA
RP5-1052I5.2	NA	NA
RP5-850E9.3	NA	NA
RP9	0.17	65.33
RPA1	-1.11	6.78
RPA2	0.26	70.06
RPA3	0.04	56.25
RPA4	-0.01	53.19
RPAIN	-0.01	53.51
RPAP1	1.17	92.7
RPAP2	-0.6	17.91
RPAP3	-0.6	18.06
RPE	-0.05	49.76
RPE65	-0.38	28.01
RPF1	1	90.65
RPF2	0.15	64.51
RPGR	2.8	99.04
RPGRIP1	1.3	93.91
RPGRIP1L	1.08	91.76
RPH3A	-1.48	3.66
RPH3AL	-0.16	42.16
RPIA	-0.16	41.25
RPL10	0.04	56.25
RPL10A	-0.19	39.68
RPL10L	0.17	65.76
RPL11	-0.05	49.39
RPL12	0.1	61.28
RPL13	0.06	58.53
RPL13A	-0.43	25.15
RPL14	0.26	70.06
RPL15	-0.08	47.79
RPL17	-0.1	46.2
RPL17-C18orf32	NA	NA
RPL18	-0.25	35.42
RPL18A	-0.32	31.46
RPL19	0.01	54.63
RPL21	0.06	58
RPL22	0.01	54.63
RPL22L1	0.19	66.57
RPL23	0.01	54.63
RPL23A	-0.1	46.2
RPL24	-0.08	47.79
RPL26	-0.01	52.85
RPL26L1	-0.16	41.25
RPL27	-0.21	38.28
RPL27A	0.08	59.43
RPL28	0.08	60.31
RPL29	-0.1	46.2
RPL3	-0.76	13.33
RPL30	0.04	56.25
RPL31	0.24	68.72
RPL32	0.24	68.72
RPL34	-0.08	47.79
RPL35	0.13	62.74
RPL35A	0.28	70.87
RPL36	0.04	56.25
RPL36A	0.26	69.83
RPL36AL	-0.01	52.85
RPL37	-0.01	52.85
RPL37A	0.04	56.25
RPL38	0.04	56.25
RPL39	0.15	63.81
RPL39L	0.35	73.79
RPL3L	0.76	86.85
RPL4	0.02	55.45
RPL41	0.15	63.81
RPL5	-0.03	51.4
RPL6	-0.14	43.29
RPL7	-0.3	32.62
RPL7A	-0.16	41.64
RPL7L1	-0.54	20.26
RPL8	-0.21	38.58
RPL9	-0.16	41.25
RPLP0	-0.03	51.4
RPLP1	-0.05	49.39
RPLP2	-0.19	39.68
RPN1	-0.02	52.09
RPN2	-0.35	29.49
RPP14	0.44	77.45
RPP21	0.55	81.22
RPP25	NA	NA
RPP25L	-0.16	41.25
RPP30	0.11	61.73
RPP38	0.93	89.79
RPP40	0.53	80.82
RPRD1A	-0.27	33.97
RPRD1B	-0.21	38.28
RPRD2	-0.8	12.53
RPRM	0.04	56.25
RPRML	NA	NA
RPS10	-0.14	42.88
RPS11	-0.16	41.25
RPS12	0.04	56.25
RPS13	-0.03	51.04
RPS14	-0.12	44.54
RPS15	0.01	54.63
RPS15A	0.06	58
RPS16	-0.19	39.68
RPS17	NA	NA
RPS17L	NA	NA
RPS18	0.06	58
RPS19	-0.21	38.28
RPS19BP1	0.21	67.72
RPS2	-0.56	19.31
RPS20	0.21	67.72
RPS21	0.01	54.63
RPS23	-0.01	52.85
RPS24	0.04	56.64
RPS25	0.01	54.63
RPS26	-0.08	47.79
RPS27	0.06	58
RPS27A	0.1	61.28
RPS27L	0.1	60.96
RPS28	0.17	65.04
RPS29	0.04	56.25
RPS3	0.33	73.11
RPS3A	0.01	54.63
RPS4X	0.06	58
RPS4Y1	NA	NA
RPS4Y2	NA	NA
RPS5	-0.25	35.42
RPS6	-0.34	30.07
RPS6KA1	-1.07	7.43
RPS6KA2	-1.02	8.14
RPS6KA3	0.39	76.05
RPS6KA4	-0.31	32.06
RPS6KA5	-0.18	40.45
RPS6KA6	-0.09	46.74
RPS6KB1	-0.49	22.09
RPS6KB2	-0.31	32.15
RPS6KC1	0.45	78.02
RPS6KL1	0.05	57.48
RPS7	-0.1	46.2
RPS8	-0.05	49.39
RPS9	-0.12	44.54
RPSA	0.04	56.25
RPSAP58	NA	NA
RPTN	1.24	93.42
RPTOR	-2.58	0.83
RPUSD1	-0.24	36.17
RPUSD2	-0.62	17.31
RPUSD3	0.06	58.85
RPUSD4	1	90.65
RQCD1	-0.12	44.54
RRAD	-0.36	28.63
RRAGA	-0.27	33.97
RRAGB	-0.14	42.88
RRAGC	-0.23	36.86
RRAGD	-0.05	49.76
RRAS	0.24	69.21
RRAS2	0.04	56.25
RRBP1	0.11	61.74
RREB1	-0.17	40.61
RRH	0.51	80.1
RRM1	-0.64	16.53
RRM2	-0.25	35.75
RRM2B	-0.08	47.79
RRN3	0.38	75.58
RRNAD1	-0.2	38.98
RRP1	0.84	88.36
RRP12	-0.98	8.66
RRP15	0.73	86.08
RRP1B	-0.35	29.43
RRP36	0.26	70.44
RRP7A	1.31	94
RRP8	0.51	80.3
RRP9	-0.16	42.06
RRS1	0.97	90.27
RS1	0.3	72.01
RSAD1	0.26	70.52
RSAD2	-0.05	50.22
RSBN1	-0.84	11.18
RSBN1L	-0.82	11.88
RSC1A1	1.07	91.67
RSF1	0.39	75.7
RSG1	-0.12	45.13
RSL1D1	-0.11	45.49
RSL24D1	-0.12	44.54
RSPH1	0.49	79.52
RSPH10B	NA	NA
RSPH10B2	NA	NA
RSPH3	1.16	92.63
RSPH4A	0.82	88.07
RSPH6A	-1.06	7.58
RSPH9	-0.14	43.57
RSPO1	0.17	65.76
RSPO2	-0.01	53.51
RSPO3	-0.14	43.29
RSPO4	0.31	72.38
RSPRY1	-0.29	32.94
RSRC1	-0.34	30.37
RSRC2	-0.32	31.46
RSU1	-0.38	27.69
RTBDN	0.11	61.73
RTCA	0.37	75.29
RTDR1	0.89	89.19
RTEL1	-2.48	0.95
RTF1	-0.34	30.07
RTKN	-0.84	11.36
RTKN2	-0.07	48.78
RTL1	0.33	73.65
RTN1	0.13	63.57
RTN2	-0.2	39.11
RTN3	-0.84	11.45
RTN4	1.85	97.13
RTN4IP1	-0.49	22.51
RTN4R	-1.09	7.05
RTN4RL1	0.4	76.36
RTN4RL2	NA	NA
RTP1	0.06	58.85
RTP2	0.24	69.21
RTP3	-0.03	51.4
RTP4	1.35	94.35
RTTN	0.19	66.28
RUFY1	-0.49	22.65
RUFY2	-0.23	37.32
RUFY3	-0.84	11.18
RUFY4	NA	NA
RUNDC1	-0.56	19.54
RUNDC3A	-0.32	31.46
RUNDC3B	-0.52	21.2
RUNX1	-0.23	37.11
RUNX1T1	-1	8.32
RUNX2	-0.45	24.33
RUNX3	-0.27	34.32
RUSC1	-0.4	26.93
RUSC2	-2.09	1.56
RUVBL1	-0.56	19.31
RUVBL2	-1.02	7.94
RWDD1	-0.14	42.88
RWDD2A	-0.1	46.2
RWDD2B	0.51	80.1
RWDD3	0.35	74.18
RWDD4	0.06	58.26
RXFP1	-0.31	32.06
RXFP2	-0.18	40.56
RXFP3	-0.07	48.54
RXFP4	0.24	69.46
RXRA	-0.69	15.12
RXRB	-0.12	44.54
RXRG	-0.85	11.06
RYR1	-8.29	0.01
RYR2	-5.87	0.05
RYR3	-5.87	0.06
S100A1	-0.1	46.2
S100A10	0.13	62.74
S100A11	0.22	67.92
S100A12	-0.03	51.04
S100A13	0.17	65.33
S100A14	-0.21	38.28
S100A16	-0.14	42.88
S100A2	0.17	65.33
S100A3	0.61	83.07
S100A4	-0.19	39.68
S100A5	0.39	75.87
S100A6	0.41	76.67
S100A7	0.37	74.95
S100A7A	0.75	86.57
S100A7L2	NA	NA
S100A8	0.04	56.25
S100A9	0.1	61.28
S100B	0.06	58
S100G	0.15	63.81
S100P	-0.16	41.25
S100PBP	-0.29	33.2
S100Z	0.46	78.16
S1PR1	0.06	58.53
S1PR2	-0.4	26.73
S1PR3	0.04	57.31
S1PR4	-0.53	20.78
S1PR5	0.62	83.25
SAA1	0.1	61.28
SAA2	0.73	85.98
SAA4	0.66	84.35
SAAL1	1.13	92.23
SAC3D1	NA	NA
SACM1L	-0.42	25.56
SACS	-1.83	2.1
SAE1	-0.38	27.88
SAFB	-1.62	2.93
SAFB2	-0.93	9.68
SAG	0.29	71.57
SAGE1	0.01	54.1
SALL1	-0.83	11.53
SALL2	0.5	79.64
SALL3	NA	NA
SALL4	-1.47	3.73
SAMD1	NA	NA
SAMD10	0.28	71.27
SAMD11	NA	NA
SAMD12	0.33	73.27
SAMD13	-0.12	44.54
SAMD14	-0.54	20.54
SAMD15	0.85	88.48
SAMD3	-0.35	29.43
SAMD4A	-0.64	16.63
SAMD4B	-0.91	9.9
SAMD5	NA	NA
SAMD7	0.09	60.47
SAMD8	-0.16	41.64
SAMD9	1.12	92.11
SAMD9L	-0.03	50.56
SAMHD1	-0.73	14.02
SAMM50	-0.27	34.82
SAMSN1	0.42	76.96
SAP130	-1.62	2.94
SAP18	-0.12	44.54
SAP25	0.32	72.94
SAP30	0.06	58
SAP30BP	-0.12	44.89
SAP30L	-0.01	52.85
SAPCD1	1.44	95.05
SAPCD2	NA	NA
SAR1A	-0.03	51.04
SAR1B	-0.23	36.86
SARDH	1.41	94.81
SARM1	NA	NA
SARNP	-0.12	44.54
SARS	-0.32	31.69
SARS2	-0.71	14.67
SART1	-0.95	9.32
SART3	-1.04	7.84
SASH1	-0.56	19.07
SASH3	-0.45	24.19
SASS6	-0.25	36.07
SAT1	-0.03	51.04
SAT2	0.28	71.08
SATB1	-0.58	18.59
SATB2	-0.87	10.65
SATL1	1.57	95.74
SAV1	-0.29	32.94
SAYSD1	0.5	79.89
SBDS	0.24	68.98
SBF1	-4.05	0.17
SBF2	-2	1.73
SBK1	NA	NA
SBK2	NA	NA
SBNO1	-0.82	12.01
SBNO2	-2.27	1.25
SBP1	NA	NA
SBSN	2	97.66
SBSPON	0.73	86.08
SC5DL	-0.25	35.75
SCAF1	NA	NA
SCAF11	-0.21	37.78
SCAF4	-1.21	5.68
SCAF8	-0.95	9.34
SCAI	-0.49	22.36
SCAMP1	NA	NA
SCAMP2	-0.07	48.35
SCAMP3	0.04	56.92
SCAMP4	0.22	68.27
SCAMP5	-0.34	30.07
SCAND1	NA	NA
SCAND3	-0.95	9.32
SCAP	-2.19	1.39
SCAPER	0.65	84.18
SCARA3	-1.22	5.64
SCARA5	0.62	83.42
SCARB1	-0.16	42.16
SCARB2	0.49	79.38
SCARF1	2.34	98.4
SCARF2	NA	NA
SCCPDH	0.26	70.44
SCD	-0.1	46.49
SCD5	0.15	64.61
SCEL	0.11	62.1
SCFD1	-0.18	40.36
SCFD2	-0.04	50.51
SCG2	-0.67	15.76
SCG3	-0.31	31.93
SCG5	-0.21	38.28
SCGB1A1	0.06	58
SCGB1C1	0.64	83.78
SCGB1D1	0.53	80.58
SCGB1D2	0.08	59.76
SCGB1D4	0.01	54.63
SCGB2A1	-0.08	47.79
SCGB2A2	-0.23	36.86
SCGB2B2	0.37	74.95
SCGB3A1	0.04	56.25
SCGB3A2	-0.03	51.04
SCGN	0.37	75.29
SCHIP1	-0.1	46.49
SCIMP	-0.16	41.25
SCIN	1.22	93.24
SCLT1	-0.06	48.84
SCLY	0.22	68.49
SCMH1	-0.73	14.14
SCML1	-0.08	47.79
SCML2	-0.49	22.09
SCML4	-0.05	50.22
SCN10A	-1.32	4.74
SCN11A	-1.82	2.14
SCN1A	-1.43	4.03
SCN1B	0.62	83.25
SCN2A	-1.99	1.77
SCN2B	-0.45	24
SCN3A	-2.48	0.97
SCN3B	-0.27	33.97
SCN4A	-0.75	13.68
SCN4B	-0.38	27.42
SCN5A	-1.88	1.99
SCN7A	0.86	88.57
SCN8A	-1.75	2.34
SCN9A	0.33	73.63
SCNM1	0.35	74.18
SCNN1A	0.27	70.64
SCNN1B	0.16	64.92
SCNN1D	1.77	96.78
SCNN1G	-0.95	9.21
SCO1	-0.18	39.95
SCO2	-0.62	17.31
SCOC	0.7	85.34
SCP2	-0.8	12.24
SCPEP1	-0.45	24.33
SCRG1	0.01	54.63
SCRIB	-2.44	1.03
SCRN1	0.2	67.19
SCRN2	0.76	86.8
SCRN3	0	53.85
SCRT1	NA	NA
SCRT2	NA	NA
SCT	NA	NA
SCTR	0.55	81.6
SCUBE1	-1.45	3.93
SCUBE2	-0.7	14.81
SCUBE3	-0.22	37.66
SCXA	NA	NA
SCXB	NA	NA
SCYL1	0.47	78.83
SCYL2	0.04	57.41
SCYL3	0.31	72.71
SDAD1	-0.04	50.5
SDC1	0.89	89.14
SDC2	0.1	61.49
SDC3	-0.02	52.25
SDC4	-0.16	41.64
SDCBP	-0.52	21.2
SDCBP2	1.33	94.17
SDCCAG3	0.47	78.8
SDCCAG8	-0.15	42.23
SDE2	0.06	58.85
SDF2	0.33	73.11
SDF2L1	NA	NA
SDF4	-0.6	18.14
SDHA	-0.86	10.95
SDHAF1	NA	NA
SDHAF2	0.01	54.95
SDHB	0.53	80.73
SDHC	0.39	75.87
SDHD	0.46	78.16
SDK1	-4.63	0.08
SDK2	-2.47	0.98
SDPR	0.22	68.38
SDR16C5	0.1	61.49
SDR39U1	1.46	95.21
SDR42E1	1.2	92.98
SDR9C7	0.33	73.54
SDS	-0.42	25.56
SDSL	0.62	83.42
SEBOX	0.82	87.87
SEC11A	-0.03	51.04
SEC11C	-0.03	51.04
SEC13	-0.43	25.37
SEC14L1	-0.62	17.4
SEC14L2	0.24	69.21
SEC14L3	1.16	92.59
SEC14L4	1.07	91.67
SEC14L5	-1.7	2.54
SEC14L6	NA	NA
SEC16A	-2.29	1.23
SEC16B	3.61	99.54
SEC22A	-0.16	41.25
SEC22C	-0.18	39.95
SEC23A	-0.78	12.88
SEC23B	0.49	79.61
SEC23IP	0.16	64.96
SEC24A	-1.06	7.55
SEC24B	-1.3	4.92
SEC24C	-0.97	8.98
SEC24D	1.18	92.84
SEC31A	-0.99	8.63
SEC31B	2.08	97.82
SEC61A1	-0.54	20.26
SEC61A2	-0.43	25.15
SEC61B	-0.1	46.2
SEC61G	0.15	63.81
SEC62	0.37	75.12
SEC63	-0.58	18.72
SECISBP2	-0.53	20.82
SECISBP2L	-0.93	9.68
SECTM1	0.91	89.47
SEH1L	-0.12	45.13
SEL1L	0.15	64.74
SEL1L2	0.42	77.23
SEL1L3	-0.13	44.09
SELE	1.33	94.22
SELENBP1	-0.64	16.53
SELK	0.19	66.57
SELL	0.79	87.4
SELM	-0.21	38.28
SELO	-0.64	16.76
SELP	1.01	90.81
SELPLG	1.22	93.19
SELRC1	0.24	68.98
SELT	-0.05	49.39
SELV	NA	NA
SEMA3A	0.34	73.68
SEMA3C	-0.62	17.4
SEMA3D	-0.26	34.88
SEMA3E	-0.8	12.49
SEMA3F	-0.26	34.88
SEMA3G	-0.66	16.07
SEMA4A	0.02	55.76
SEMA4B	-0.04	50.54
SEMA4C	-0.78	13.05
SEMA4D	0.12	62.24
SEMA4F	-1.06	7.52
SEMA4G	-1.13	6.56
SEMA5A	-2.89	0.58
SEMA5B	-0.45	23.73
SEMA6A	-0.06	48.91
SEMA6B	NA	NA
SEMA6C	NA	NA
SEMA6D	-0.73	14.24
SEMA7A	-1.04	7.77
SEMG1	0.89	89.24
SEMG2	1.07	91.68
SENP1	-0.05	50.01
SENP2	-0.14	43.57
SENP3	NA	NA
SENP5	0.38	75.51
SENP6	0.36	74.68
SENP7	0.49	79.61
SENP8	-0.03	51.4
SEP15	NA	NA
SEPHS1	-0.65	16.36
SEPHS2	0.59	82.51
SEPN1	0.62	83.42
SEPP1	0.57	82.08
SEPSECS	0	53.73
SEPT1	0.13	63.2
SEPT10	-0.29	33.42
SEPT11	-0.32	31.46
SEPT12	-0.38	28.01
SEPT14	0.84	88.36
SEPT2	-0.01	53.19
SEPT3	-0.3	32.62
SEPT4	-0.8	12.33
SEPT5	-0.34	30.07
SEPT6	-0.25	35.42
SEPT7	NA	NA
SEPT8	-0.69	15.2
SEPT9	-1.5	3.57
SEPW1	NA	NA
SERAC1	0.24	69.51
SERBP1	-0.34	30.07
SERF1A	NA	NA
SERF1B	NA	NA
SERF2	NA	NA
SERGEF	0.82	87.95
SERHL2	NA	NA
SERINC1	0.28	71.41
SERINC2	0.18	66.17
SERINC3	-0.16	42.06
SERINC4	NA	NA
SERINC5	-0.2	38.82
SERP1	0.04	56.25
SERP2	0.1	60.96
SERPINA1	0.53	81.01
SERPINA10	2.4	98.51
SERPINA11	0.02	55.61
SERPINA12	1.42	94.92
SERPINA3	-0.42	25.73
SERPINA4	-0.75	13.58
SERPINA5	0.62	83.53
SERPINA6	-0.49	22.51
SERPINA7	0.99	90.56
SERPINA9	2.78	99.02
SERPINB1	0.02	55.61
SERPINB10	1.36	94.41
SERPINB11	NA	NA
SERPINB12	0.64	83.98
SERPINB13	-0.4	26.73
SERPINB2	0.2	67.36
SERPINB3	2.18	98.07
SERPINB4	-0.33	30.7
SERPINB5	0.42	77.16
SERPINB6	-0.14	43.77
SERPINB7	-0.36	29.16
SERPINB8	0.35	74.58
SERPINB9	-0.6	17.91
SERPINC1	-0.05	50.22
SERPIND1	0.56	81.63
SERPINE1	-0.27	34.71
SERPINE2	-0.4	26.53
SERPINE3	0.11	61.91
SERPINF1	-0.6	18.19
SERPINF2	-0.78	13.05
SERPING1	-0.65	16.44
SERPINH1	-0.6	17.91
SERPINI1	1.15	92.47
SERPINI2	0.22	68.27
SERTAD1	0.13	63
SERTAD2	-0.51	21.41
SERTAD3	-0.32	31.46
SERTAD4	0.93	89.79
SERTM1	0.04	56.25
SESN1	-0.84	11.18
SESN2	-0.67	15.86
SESN3	-0.32	31.46
SESTD1	-0.47	23.43
SET	0.3	72.01
SETBP1	-1.12	6.61
SETD1A	-2.93	0.56
SETD1B	0.2	67.43
SETD2	-0.94	9.42
SETD3	-0.93	9.55
SETD4	-0.18	40.36
SETD5	-0.79	12.6
SETD6	0.13	63.49
SETD7	0.08	60.31
SETD8	0.1	61.49
SETD9	-0.12	45.13
SETDB1	-1.46	3.81
SETDB2	-0.07	48.69
SETMAR	0.31	72.6
SETX	-0.14	42.88
SEZ6	1.25	93.47
SEZ6L	-2.03	1.69
SEZ6L2	-1.12	6.58
SF1	-0.87	10.65
SF3A1	-0.78	12.77
SF3A2	NA	NA
SF3A3	-0.43	25.15
SF3B1	-1.13	6.43
SF3B14	0.06	58
SF3B2	-1.09	7.11
SF3B3	-1.02	8.04
SF3B4	-0.3	32.62
SF3B5	0.1	60.96
SFI1	0.6	82.53
SFMBT1	-0.64	16.63
SFMBT2	-0.62	17.47
SFN	-0.23	36.86
SFPQ	NA	NA
SFR1	-0.12	44.89
SFRP1	-0.47	23.04
SFRP2	-0.14	43.29
SFRP4	-0.25	35.99
SFRP5	0.13	63.2
SFSWAP	-0.96	9
SFT2D1	0.1	61.28
SFT2D2	-0.23	36.86
SFT2D3	NA	NA
SFTA2	0.21	67.72
SFTA3	0.15	64.11
SFTPA1	0.46	78.46
SFTPA2	0.62	83.25
SFTPB	0.71	85.68
SFTPC	0.22	68.13
SFTPD	0.75	86.65
SFXN1	0.17	65.96
SFXN2	-0.42	25.56
